Stift;Enhet;Löneservice;Antal konton
Västerås stift;Rättviks pastorat;Nej;29
Västerås stift;Sala-Norrby-Möklinta pastorat;Nej;40
Västerås stift;Skinnskatteberg med Hed och Gunnilbo församling;Nej;16
Västerås stift;Sura-Ramnäs församling;Nej;19
Västerås stift;Svärdsjö, Envikens och Sundborns pastorat;Nej;31
Västerås stift;Säterbygdens församling;Nej;31
Västerås stift;Västanfors-Västervåla församling;Nej;36
Västerås stift;Västerfärnebo-Fläckebo församling;Nej;18
Västerås stift;Västerås pastorat;Nej;242
Västerås stift;Västerås stift;Nej;175
Västerås stift;Älvdalens församling;Nej;27
Växjö stift;Berga pastorat;Ja;18
Växjö stift;Bredaryds pastorat;Ja;18
Växjö stift;Byarums pastorat;Ja;25
Växjö stift;Emmaboda pastorat;Ja;27
Växjö stift;Forshedabygdens församling;Ja;23
Växjö stift;Förlösa-Kläckeberga församling;Ja;24
Växjö stift;Gislaveds pastorat;Ja;98
Växjö stift;Gnosjö pastorat;Ja;28
Växjö stift;Gränna-Visingsö pastorat;Ja;43
Växjö stift;Hyltebruks pastorat;Ja;36
Växjö stift;Jönköpings församling;Ja;182
Växjö stift;Kalmar pastorat;Ja;112
Växjö stift;Lessebo församling;Ja;24
Växjö stift;Ljungby pastorat;Ja;70
Växjö stift;Norra Ölands pastorat;Ja;52
Växjö stift;Norrahammars församling;Ja;19
Växjö stift;Nybro pastorat;Ja;51
Växjö stift;Oskarshamns församling;Ja;77
Växjö stift;Rogberga-Öggestorps församling;Ja;17
Växjö stift;Ryssby pastorat;Ja;16
Växjö stift;Ryssby-Åby pastorat;Ja;20
Växjö stift;Skatelövs pastorat;Ja;16
Växjö stift;Skillingaryds församling;Ja;19
Växjö stift;Skärstad-Ölmstads församling;Ja;16
Växjö stift;Stenbrohults församling;Ja;8
Växjö stift;Sävsjö pastorat;Ja;41
Växjö stift;Södermöre pastorat;Ja;80
Växjö stift;Södra Ljunga församling;Ja;15
Växjö stift;Tingsryds pastorat;Ja;46
Växjö stift;Torsås pastorat;Ja;27
Växjö stift;Uppvidinge pastorat;Ja;29
Växjö stift;Vetlanda pastorat;Ja;133
Växjö stift;Virestad-Härlunda församling;Ja;11
Växjö stift;Växjö pastorat;Ja;237
Växjö stift;Växjö stift;Ja;123
Växjö stift;Älmhults församling;Ja;26
Växjö stift;Alvesta församling;Nej;24
Växjö stift;Bankeryds församling;Nej;24
Växjö stift;Barnarp-Ödestugu församling;Nej;13
Växjö stift;Döderhults församling;Nej;41
Växjö stift;Dörby-Hossmo pastorat;Nej;10
Växjö stift;Göteryds pastorat;Nej;15
Växjö stift;Huskvarna pastorat;Nej;108
